customer_id,customer_name,city,signup_date
1,Customer_1,Kolkata,2022-03-07
2,Customer_2,Hyderabad,2022-03-12
3,Customer_3,Ahmedabad,2023-02-26
4,Customer_4,Chennai,2022-04-06
5,Customer_5,Kolkata,2022-09-10
6,Customer_6,Bhopal,2021-01-21
7,Customer_7,Bangalore,2021-03-05
8,Customer_8,Kolkata,2021-06-14
9,Customer_9,Ahmedabad,2021-01-27
10,Customer_10,Chennai,2021-11-07
11,Customer_11,Hyderabad,2021-10-12
12,Customer_12,Ahmedabad,2022-10-22
13,Customer_13,Ahmedabad,2021-10-08
14,Customer_14,Bangalore,2023-04-18
15,Customer_15,Pune,2023-04-11
16,Customer_16,Chennai,2021-06-13
17,Customer_17,Mumbai,2023-06-17
18,Customer_18,Ahmedabad,2021-08-12
19,Customer_19,Pune,2023-02-23
20,Customer_20,Mumbai,2021-05-26
21,Customer_21,Chennai,2023-05-18
22,Customer_22,Delhi,2021-01-30
23,Customer_23,Bhopal,2021-02-14
24,Customer_24,Pune,2023-02-26
25,Customer_25,Jaipur,2022-04-16
26,Customer_26,Delhi,2021-02-03
27,Customer_27,Bhopal,2022-10-15
28,Customer_28,Bangalore,2022-03-03
29,Customer_29,Kolkata,2023-04-10
30,Customer_30,Hyderabad,2023-06-05
31,Customer_31,Jaipur,2021-08-09
32,Customer_32,Bangalore,2023-05-18
33,Customer_33,Chennai,2022-06-18
34,Customer_34,Bangalore,2022-11-23
35,Customer_35,Kolkata,2022-01-02
36,Customer_36,Chennai,2023-04-21
37,Customer_37,Jaipur,2023-01-13
38,Customer_38,Kolkata,2022-07-04
39,Customer_39,Mumbai,2022-08-05
40,Customer_40,Hyderabad,2021-04-26
41,Customer_41,Jaipur,2021-08-27
42,Customer_42,Mumbai,2021-12-01
43,Customer_43,Bhopal,2022-03-17
44,Customer_44,Jaipur,2021-05-28
45,Customer_45,Bhopal,2021-01-09
46,Customer_46,Chennai,2021-10-15
47,Customer_47,Mumbai,2022-01-23
48,Customer_48,Hyderabad,2021-02-19
49,Customer_49,Kolkata,2023-04-30
50,Customer_50,Ahmedabad,2022-06-01
51,Customer_51,Bangalore,2023-05-05
52,Customer_52,Delhi,2022-09-30
53,Customer_53,Hyderabad,2022-08-10
54,Customer_54,Mumbai,2022-11-08
55,Customer_55,Ahmedabad,2021-10-05
56,Customer_56,Hyderabad,2023-04-16
57,Customer_57,Mumbai,2021-10-27
58,Customer_58,Pune,2023-03-13
59,Customer_59,Pune,2022-08-12
60,Customer_60,Bhopal,2023-03-21
61,Customer_61,Hyderabad,2022-10-11
62,Customer_62,Pune,2022-09-10
63,Customer_63,Mumbai,2022-08-30
64,Customer_64,Bhopal,2021-05-15
65,Customer_65,Mumbai,2022-08-03
66,Customer_66,Bhopal,2021-05-27
67,Customer_67,Hyderabad,2022-05-05
68,Customer_68,Ahmedabad,2022-04-23
69,Customer_69,Kolkata,2021-06-08
70,Customer_70,Jaipur,2022-01-19
71,Customer_71,Ahmedabad,2021-06-12
72,Customer_72,Chennai,2022-03-17
73,Customer_73,Mumbai,2023-05-03
74,Customer_74,Chennai,2021-07-08
75,Customer_75,Ahmedabad,2022-02-19
76,Customer_76,Bhopal,2021-12-05
77,Customer_77,Jaipur,2022-08-30
78,Customer_78,Jaipur,2021-06-30
79,Customer_79,Delhi,2021-10-15
80,Customer_80,Jaipur,2023-04-14
81,Customer_81,Kolkata,2021-07-06
82,Customer_82,Jaipur,2023-06-03
83,Customer_83,Ahmedabad,2021-05-18
84,Customer_84,Delhi,2021-05-10
85,Customer_85,Ahmedabad,2021-07-13
86,Customer_86,Ahmedabad,2021-11-12
87,Customer_87,Bangalore,2023-02-24
88,Customer_88,Delhi,2023-05-14
89,Customer_89,Ahmedabad,2021-05-24
90,Customer_90,Bangalore,2021-01-16
91,Customer_91,Bangalore,2021-10-29
92,Customer_92,Delhi,2022-02-27
93,Customer_93,Chennai,2021-09-02
94,Customer_94,Bhopal,2021-04-17
95,Customer_95,Kolkata,2021-03-29
96,Customer_96,Bhopal,2021-05-09
97,Customer_97,Jaipur,2023-06-06
98,Customer_98,Kolkata,2021-12-07
99,Customer_99,Jaipur,2021-01-04
100,Customer_100,Ahmedabad,2021-11-23
101,Customer_101,Mumbai,2022-02-14
102,Customer_102,Delhi,2023-05-29
103,Customer_103,Kolkata,2021-11-02
104,Customer_104,Kolkata,2022-08-30
105,Customer_105,Ahmedabad,2022-12-22
106,Customer_106,Chennai,2021-08-13
107,Customer_107,Bangalore,2021-12-14
108,Customer_108,Ahmedabad,2021-11-17
109,Customer_109,Pune,2022-07-13
110,Customer_110,Bangalore,2021-06-30
111,Customer_111,Delhi,2022-09-10
112,Customer_112,Bangalore,2022-12-12
113,Customer_113,Chennai,2022-01-21
114,Customer_114,Bangalore,2022-09-10
115,Customer_115,Delhi,2023-03-03
116,Customer_116,Chennai,2023-02-11
117,Customer_117,Bhopal,2021-04-18
118,Customer_118,Kolkata,2022-06-15
119,Customer_119,Kolkata,2022-02-14
120,Customer_120,Jaipur,2021-10-23
121,Customer_121,Bhopal,2023-03-29
122,Customer_122,Bhopal,2021-06-20
123,Customer_123,Bangalore,2021-11-27
124,Customer_124,Kolkata,2022-05-08
125,Customer_125,Delhi,2021-07-14
126,Customer_126,Hyderabad,2021-01-12
